name,bib,sex,flag,race,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Tiziano MOIA,1119,M,🇮🇹,#1_Vertical Uphill,851,20-34,https://utmb.world/en/runner/527635.tiziano.moia,Tiziano MOIA
Timotej BEČAN,1194,M,🇸🇮,#1_Vertical Uphill,850,20-34,https://utmb.world/en/runner/2330393.timotej.becan,Timotej BECAN
Timotej BEČAN,4201,M,🇸🇮,#5_Mountain Classic Senior,850,20-34,https://utmb.world/en/runner/2330393.timotej.becan,Timotej BECAN
Emmanuel MEYSSAT,1080,M,🇫🇷,#1_Vertical Uphill,849,40-44,https://utmb.world/en/runner/24410.emmanuel.meyssat,Emmanuel MEYSSAT
Emmanuel MEYSSAT,4079,M,🇫🇷,#5_Mountain Classic Senior,849,40-44,https://utmb.world/en/runner/24410.emmanuel.meyssat,Emmanuel MEYSSAT
Martin LUSTENBERGER,3276,M,🇨🇭,#2_Trail Long,849,35-39,https://utmb.world/en/runner/673991.martin.lustenberger,Martin LUSTENBERGER
Francesco CUCCO,3164,M,🇮🇹,#2_Trail Long,848,35-39,https://utmb.world/en/runner/658347.francesco.cucco,Francesco CUCCO
Marcin KUBICA,1172,M,🇵🇱,#1_Vertical Uphill,848,20-34,https://utmb.world/en/runner/3057019.marcin.kubica,Marcin KUBICA
Marcin KUBICA,4178,M,🇵🇱,#5_Mountain Classic Senior,848,20-34,https://utmb.world/en/runner/3057019.marcin.kubica,Marcin KUBICA
Maximilian ZEUS,1096,M,🇩🇪,#1_Vertical Uphill,848,20-34,https://utmb.world/en/runner/2330441.maximilian.zeus,Maximilian ZEUS
Maximilian ZEUS,4097,M,🇩🇪,#5_Mountain Classic Senior,848,20-34,https://utmb.world/en/runner/2330441.maximilian.zeus,Maximilian ZEUS
Rafał MATUSZCZAK,2268,M,🇵🇱,#3_Trail Short,848,20-34,https://utmb.world/en/runner/5052202.rafal.matuszczak,Rafal MATUSZCZAK
Dawid MALINA,1174,M,🇵🇱,#1_Vertical Uphill,847,20-34,https://utmb.world/en/runner/4786782.dawid.malina,Dawid MALINA
Tomáš MACEČEK,3075,M,🇨🇿,#2_Trail Long,847,20-34,https://utmb.world/en/runner/666242.tomas.macecek,Tomas MACECEK
Jupiter CARERA,3213,M,🇲🇽,#2_Trail Long,846,20-34,https://utmb.world/en/runner/3570865.jupiter.carera,Jupiter CARERA
Koji MORIMOTO,2201,M,🇯🇵,#3_Trail Short,846,40-44,https://utmb.world/en/runner/558587.koji.morimoto,Koji MORIMOTO
Marián PRIADKA,3285,M,🇸🇰,#2_Trail Long,846,35-39,https://utmb.world/en/runner/1513749.marian.priadka,Marian PRIADKA
Tobias BAGGENSTOS,2305,M,🇨🇭,#3_Trail Short,846,20-34,https://utmb.world/en/runner/3964257.tobias.baggenstos,Tobias BAGGENSTOS
Fabio RUGA,2194,M,🇮🇹,#3_Trail Short,845,40-44,https://utmb.world/en/runner/345343.fabio.ruga,Fabio RUGA
Thorbergur Ingi JÓNSSON,3156,M,🇮🇸,#2_Trail Long,845,40-44,https://utmb.world/en/runner/348698.thorbergur.jonsson,Thorbergur JONSSON
Alexandre FINE,4076,M,🇫🇷,#5_Mountain Classic Senior,844,20-34,https://utmb.world/en/runner/1028611.alexandre.fine,Alexandre FINE
Chris BALESTRINI,2049,M,🇨🇦,#3_Trail Short,844,20-34,https://utmb.world/en/runner/4595338.chris.balestrini,Chris BALESTRINI
Juan BELMAN,3212,M,🇲🇽,#2_Trail Long,844,20-34,https://utmb.world/en/runner/4251529.juan.belmanortiz,Juan BELMAN ORTIZ
Kane REILLY,1191,M,🇿🇦,#1_Vertical Uphill,844,20-34,https://utmb.world/en/runner/156157.kane.reilly,Kane REILLY
Kane REILLY,2293,M,🇿🇦,#3_Trail Short,844,20-34,https://utmb.world/en/runner/156157.kane.reilly,Kane REILLY
Tiago VIEIRA,2277,M,🇵🇹,#3_Trail Short,844,20-34,https://utmb.world/en/runner/5137526.tiago.vieira,Tiago VIEIRA
Tomas HUDEC,2084,M,🇨🇿,#3_Trail Short,844,20-34,https://utmb.world/en/runner/1389341.tomas.hudec,Tomas HUDEC
Joaquin Andres LOPEZ ITURRALDE,3081,M,🇪🇨,#2_Trail Long,843,20-34,https://utmb.world/en/runner/243895.joaquin.lopez,Joaquin LOPEZ
Weston HILL,3233,M,🇳🇿,#2_Trail Long,842,20-34,https://utmb.world/en/runner/1035067.weston.hill,Weston HILL
Daniel LUSTENBERGER,1207,M,🇨🇭,#1_Vertical Uphill,841,20-34,https://utmb.world/en/runner/1577761.daniel.lustenberger,Daniel LUSTENBERGER
Daniel LUSTENBERGER,4215,M,🇨🇭,#5_Mountain Classic Senior,841,20-34,https://utmb.world/en/runner/1577761.daniel.lustenberger,Daniel LUSTENBERGER
Hirokazu NISHIMURA,3174,M,🇯🇵,#2_Trail Long,841,40-44,https://utmb.world/en/runner/36506.hirokazu.nishimura,Hirokazu NISHIMURA
Jackson BRILL,2346,M,🇺🇸,#3_Trail Short,841,20-34,https://utmb.world/en/runner/1080851.jackson.brill,Jackson BRILL
Dominik TABOR,1175,M,🇵🇱,#1_Vertical Uphill,840,20-34,https://utmb.world/en/runner/5144077.dominik.tabor,Dominik TABOR
Dominik TABOR,4181,M,🇵🇱,#5_Mountain Classic Senior,840,20-34,https://utmb.world/en/runner/5144077.dominik.tabor,Dominik TABOR
Morgan ELLIOTT,4237,M,🇺🇸,#5_Mountain Classic Senior,840,20-34,https://utmb.world/en/runner/4103123.morgan.elliott,Morgan ELLIOTT
Andreas RIEDER,2028,M,🇦🇹,#3_Trail Short,839,35-39,https://utmb.world/en/runner/3034585.andreas.rieder,Andreas RIEDER
Florian REICHERT,3129,M,🇩🇪,#2_Trail Long,839,40-44,https://utmb.world/en/runner/279430.florian.reichert,Florian REICHERT
Piotr ŁOBODZIŃSKI,1173,M,🇵🇱,#1_Vertical Uphill,839,35-39,https://utmb.world/en/runner/527632.piotr.lobodzinski,Piotr LOBODZINSKI
Piotr ŁOBODZIŃSKI,4179,M,🇵🇱,#5_Mountain Classic Senior,839,35-39,https://utmb.world/en/runner/527632.piotr.lobodzinski,Piotr LOBODZINSKI
Raphael SPRENGER,3280,M,🇨🇭,#2_Trail Long,839,35-39,https://utmb.world/en/runner/722064.raphael.sprenger,Raphael SPRENGER
Alejandro MAYOR,3093,M,🇪🇸,#2_Trail Long,838,20-34,https://utmb.world/en/runner/957599.alejandro.mayor,Alejandro MAYOR
Caleb OLSON,3305,M,🇺🇸,#2_Trail Long,838,20-34,https://utmb.world/en/runner/2574519.caleb.olson,Caleb OLSON
Eder BELMONT,1144,M,🇲🇽,#1_Vertical Uphill,837,20-34,https://utmb.world/en/runner/1158479.eder.belmont,Eder BELMONT
Yuya KAWASAKI,3173,M,🇯🇵,#2_Trail Long,837,35-39,https://utmb.world/en/runner/1259095.yuya.kawasaki,Yuya KAWASAKI
Joshua POTVIN,2053,M,🇨🇦,#3_Trail Short,836,20-34,https://utmb.world/en/runner/4636106.joshua.potvin,Joshua POTVIN
Michał RAJCA,2269,M,🇵🇱,#3_Trail Short,836,20-34,https://utmb.world/en/runner/1100943.michal.rajca,Michal RAJCA
António ALMEIDA,2272,M,🇵🇹,#3_Trail Short,835,40-44,https://utmb.world/en/runner/2578973.antonio.almeida,António ALMEIDA
Ruedi BECKER,2306,M,🇨🇭,#3_Trail Short,835,35-39,https://utmb.world/en/runner/342838.ruedi.becker,Ruedi BECKER
Yamato YOSHINO,3177,M,🇯🇵,#2_Trail Long,835,20-34,https://utmb.world/en/runner/1687565.yamato.yoshino,Yamato YOSHINO
Jáchym KOVÁŘ,1053,M,🇨🇿,#1_Vertical Uphill,834,20-34,https://utmb.world/en/runner/2595043.jachym.kovar,Jáchym KOVÁR
Jáchym KOVÁŘ,4050,M,🇨🇿,#5_Mountain Classic Senior,834,20-34,https://utmb.world/en/runner/2595043.jachym.kovar,Jáchym KOVÁR
Alexander HUTTER,3026,M,🇦🇹,#2_Trail Long,832,20-34,https://utmb.world/en/runner/3034591.alexander.hutter,Alexander HUTTER
